index,balance,estimated_salary,tenure,products_number,age,credit_score,churn
balance,1.0,0.012797496340555773,-0.01225392617521545,-0.3041797383605498,0.028308368327491746,0.0062683816160088906,0.11853276877163399
estimated_salary,0.012797496340555773,1.0,0.007783825455810535,0.014204195129094599,-0.007201042376657386,-0.001384292867984426,0.012096861026844652
tenure,-0.01225392617521545,0.007783825455810535,1.0,0.013443755460747366,-0.009996825590774167,0.0008419418186461458,-0.01400061225344462
products_number,-0.3041797383605498,0.014204195129094599,0.013443755460747366,1.0,-0.03068008796150862,0.012237879283267987,-0.04781986494944065
age,0.028308368327491746,-0.007201042376657386,-0.009996825590774167,-0.03068008796150862,1.0,-0.003964905525390125,0.2853230378350698
credit_score,0.0062683816160088906,-0.001384292867984426,0.0008419418186461458,0.012237879283267987,-0.003964905525390125,1.0,-0.02709353975465728
churn,0.11853276877163399,0.012096861026844652,-0.01400061225344462,-0.04781986494944065,0.2853230378350698,-0.02709353975465728,1.0
